Product,Model,GA Date,EOL Date,EOPS Date,EOSL Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include?,GA Updated?,EOL Updated?,EOPS Updated?,EOSL Updated?,Date Red to Black,Longest Proudct Name
Atmos Generation 1,G1,1-Jun-08,31-Mar-10,31-Dec-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,no,no,yes,yes,30-Jun-15,18
Atmos Generation 2 ,G2,31-Mar-10,31-Dec-15,31-Dec-20,31-Dec-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,30-Jun-15,19
Atmos Generation 2  3TB,G2 ,13-Feb-12,31-Dec-15,31-Dec-20,31-Dec-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,30-Jun-15,23
Atmos Generation 3,G3,7-Dec-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,1-Dec-15,18
Avamar Data Store,1,14-Aug-07,31-Mar-10,30-Nov-13,30-Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,1-Dec-15,17
Avamar Data Store,Gen2,23-May-08,31-Mar-10,31-Dec-13,31-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,1-Dec-15,17
Avamar Data Store,Gen3,16-Nov-09,31-Oct-11,31-Oct-16,31-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,1-Dec-15,17
Avamar Data Store,Gen3 Expansion Storage nodes,16-Nov-09,31-Dec-12,31-Oct-16,31-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,1-Dec-15,17
Avamar Data Store,Gen4,30-Sep-11,31-Mar-13,31-Mar-18,31-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,1-Dec-15,17
Avamar Data Store,"Gen4S exception of M600,M1200 and M2400",11-Feb-13,10-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,YES,No,No,1-Dec-15,17
