Product,Model,GA Date,EOL Date,EOPS Date,EOSL Date,Include?,GA Updated?,EOL Updated?,EOPS Updated?,EOSL Updated?,Date Red to Black,,,,,,,,,,
Atmos Generation 1,G1,01-Jun-2008,31-Mar-2010,30-Apr-2015,31-Dec-2015,Yes,No,No,NO,Yes,31-Aug-2014,,,,,,,,,,
Atmos Generation 2 ,G2,31-Mar-2010,,,,Yes,Yes,Yes,Yes,Yes,15-Dec-2010,,,,,,,,,,
Atmos Generation 2  3TB,G2 ,13-Feb-2012,,,,Yes,Yes,Yes,Yes,Yes,01-Jul-2012,,,,,,,,,,
Atmos Generation 3,G3,07-Dec-2012,,,,Yes,Yes,Yes,Yes,Yes,01-Jul-2012,,,,,,,,,,
Avamar Data Store,1.0,14-Aug-2007,31-Mar-2010,30-Nov-2013,30-Nov-2013,Yes,No,Yes,Yes,Yes,01-May-2011,,,,,,,,,,
Avamar Data Store,Gen2,23-May-2008,31-Mar-2010,31-Dec-2013,31-Dec-2013,Yes,No,Yes,Yes,Yes,01-May-2010,,,,,,,,,,
Avamar Data Store,Gen3,16-Nov-2009,31-Oct-2011,31-Oct-2016,31-Oct-2016,Yes,Yes,Yes,Yes,Yes,01-Feb-2012,,,,,,,,,,
Avamar Data Store,Gen3 Expansion Storage nodes,16-Nov-2009,31-Dec-2012,31-Oct-2016,31-Oct-2016,Yes,Yes,Yes,Yes,Yes,01-Feb-2012,,,,,,,,,,
Avamar Data Store,Gen4,30-Sep-2011,31-Mar-2013,31-Mar-2018,31-Mar-2018,Yes,Yes,Yes,Yes,Yes,01-Apr-2013,,,,,,,,,,
Avamar Data Store,Gen4S,11-Feb-2013,,,,Yes,Yes,No,No,No,15-Mar-2013,,,,,,,,,,
Celerra File Server,502 Control Station,01-May-1996,28-Feb-1998,30-Apr-2003,30-Apr-2003,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Celerra File Server,502 Data Mover,01-May-1996,28-Feb-1998,30-Apr-2003,30-Apr-2003,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Celerra File Server,503 Control Station,01-Feb-1998,31-May-1999,30-Apr-2003,30-Apr-2003,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Celerra File Server,503 Data Mover,01-Feb-1998,31-May-1999,30-Apr-2003,30-Apr-2003,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Celerra File Server,505 Control Station,01-May-1998,30-Aug-1999,31-Oct-2004,31-Oct-2004,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Celerra File Server,505 Data Mover,05-Jan-1900,30-Aug-1999,31-Oct-2004,31-Oct-2004,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Celerra File Server,506 Control Station,01-Aug-1999,31-Jul-2000,31-Dec-2005,31-Dec-2005,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Celerra File Server,506 Data Mover,01-Aug-1999,31-Jul-2000,31-Dec-2005,31-Dec-2005,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Celerra File Server,507 Control Station,01-May-2001,31-Dec-2006,31-Dec-2011,31-Dec-2011,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Celerra File Server,507 Data Mover,01-Jul-2000,28-Feb-2002,28-Feb-2007,28-Feb-2007,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
